iter	Logloss
0	0.6451821135
1	0.6072330077
2	0.5338611338
3	0.5014736139
4	0.4751078505
5	0.4550451479
6	0.3982482645
7	0.3860753321
8	0.366659398
9	0.3467492847
10	0.3141012165
11	0.2954761181
12	0.2707921744
13	0.2651684987
14	0.2599755252
15	0.2452185482
16	0.2376705368
17	0.2344860359
18	0.224853868
19	0.2214647097
20	0.2102875024
21	0.2072510336
22	0.1953197768
23	0.1932196588
24	0.1912494874
25	0.1887529534
26	0.1844555909
27	0.1826695913
28	0.1807484065
29	0.1794019919
30	0.1777507772
31	0.1756005705
32	0.1745773636
33	0.1733627613
34	0.1721138198
35	0.1712546489
36	0.1700245448
37	0.1687731697
38	0.1679341183
39	0.1668318336
40	0.1655064701
41	0.1603978266
42	0.1595928092
43	0.1585790359
44	0.1575348715
45	0.1563251954
46	0.1557209854
47	0.153019877
48	0.1512229636
49	0.1500137209
