iter	Passed	Remaining
0	13	680
1	26	626
2	38	604
3	50	575
4	62	565
5	75	551
6	87	539
7	99	521
8	111	506
9	123	495
10	136	485
11	149	473
12	160	457
13	172	444
14	186	434
15	198	421
16	211	410
17	224	398
18	237	387
19	249	374
20	261	361
21	274	349
22	287	337
23	298	323
24	310	310
25	323	298
26	336	286
27	347	273
28	359	260
29	371	247
30	384	235
31	398	223
32	410	211
33	424	199
34	436	187
35	447	174
36	460	161
37	473	149
38	486	137
39	498	124
40	515	113
41	528	100
42	541	88
43	555	75
44	569	63
45	581	50
46	594	37
47	606	25
48	618	12
49	631	0
